type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
W1,2024-02-13T22:00:00+01:00,2024-02-14T05:30:00+01:00,2024-02-13 22:00:00,2024-02-14 05:30:00,16,8.0,2
W1,2024-02-14T22:00:00+01:00,2024-02-15T05:30:00+01:00,2024-02-14 22:00:00,2024-02-15 05:30:00,16,8.0,2
W1,2024-02-15T22:00:00+01:00,2024-02-16T05:30:00+01:00,2024-02-15 22:00:00,2024-02-16 05:30:00,16,8.0,2
W1,2024-02-18T07:00:00+01:00,2024-02-18T21:30:00+01:00,2024-02-18 07:00:00,2024-02-18 21:30:00,30,15.0,1
W1,2024-02-21T22:00:00+01:00,2024-02-22T05:30:00+01:00,2024-02-21 22:00:00,2024-02-22 05:30:00,16,8.0,2
W1,2024-02-22T22:00:00+01:00,2024-02-23T05:30:00+01:00,2024-02-22 22:00:00,2024-02-23 05:30:00,16,8.0,2
W1,2024-02-23T22:00:00+01:00,2024-02-23T22:00:00+01:00,2024-02-23 22:00:00,2024-02-23 22:00:00,1,0.5,1
W1,2024-02-24T05:00:00+01:00,2024-02-25T03:30:00+01:00,2024-02-24 05:00:00,2024-02-25 03:30:00,46,23.0,2
W1,2024-02-25T06:30:00+01:00,2024-02-26T05:30:00+01:00,2024-02-25 06:30:00,2024-02-26 05:30:00,47,23.5,2
W1,2024-02-26T22:00:00+01:00,2024-02-27T05:30:00+01:00,2024-02-26 22:00:00,2024-02-27 05:30:00,16,8.0,2
W1,2024-02-29T00:00:00+01:00,2024-02-29T03:30:00+01:00,2024-02-29 00:00:00,2024-02-29 03:30:00,8,4.0,1
W1,2024-02-29T22:00:00+01:00,2024-03-01T05:30:00+01:00,2024-02-29 22:00:00,2024-03-01 05:30:00,16,8.0,2
W1,2024-03-01T22:00:00+01:00,2024-03-02T14:30:00+01:00,2024-03-01 22:00:00,2024-03-02 14:30:00,34,17.0,2
W1,2024-03-07T22:00:00+01:00,2024-03-08T05:30:00+01:00,2024-03-07 22:00:00,2024-03-08 05:30:00,16,8.0,2
W1,2024-03-08T22:00:00+01:00,2024-03-09T17:00:00+01:00,2024-03-08 22:00:00,2024-03-09 17:00:00,39,19.5,2
W1,2024-03-09T18:00:00+01:00,2024-03-09T18:00:00+01:00,2024-03-09 18:00:00,2024-03-09 18:00:00,1,0.5,1
W1,2024-03-12T22:00:00+01:00,2024-03-13T00:00:00+01:00,2024-03-12 22:00:00,2024-03-13 00:00:00,5,2.5,2
W1,2024-03-14T22:00:00+01:00,2024-03-15T05:30:00+01:00,2024-03-14 22:00:00,2024-03-15 05:30:00,16,8.0,2
